sample_id,tepname,Temperature,tepvalue
11,kappa,562.565,1.59188
11,kappa,609.823,1.39686
11,kappa,655.714,1.28879
11,kappa,705.648,1.20251
11,kappa,754.228,1.13796
11,kappa,801.448,1.12773
11,kappa,851.357,1.16101
11,kappa,901.245,1.29213
11,ZT,304.989,0.0657471
11,ZT,324.077,0.0795748
11,ZT,370.833,0.148504
11,ZT,417.579,0.244925
11,ZT,465.268,0.375714
11,ZT,512.945,0.544303
11,ZT,560.613,0.740384
11,ZT,609.227,0.960524
11,ZT,656.899,1.14286
11,ZT,704.589,1.27365
11,ZT,753.237,1.3907
11,ZT,800.981,1.35654
11,ZT,849.696,1.27427
11,ZT,898.453,1.06486
12,alpha,300.0,0.000234621
12,alpha,319.78,0.000241828
12,alpha,340.659,0.000245901
12,alpha,360.44,0.000247781
12,alpha,380.769,0.0002462139999999
12,alpha,400.549,0.000240574
12,alpha,440.11,0.000220209
12,alpha,480.769,0.000192324
12,rho,299.451,1.3876804504965817e-05
12,rho,319.78,1.550606364618884e-05
12,rho,340.11,1.7252266085150285e-05
12,rho,360.44,1.9150007755753143e-05
12,rho,379.67,2.070269072871401e-05
12,rho,400.549,2.226744988710403e-05
12,rho,440.11,2.503266763125879e-05
12,rho,480.22,2.623287976684216e-05
12,kappa,298.904,0.685379
12,kappa,320.274,0.65248
12,kappa,339.452,0.647781
12,kappa,359.726,0.66658
12,kappa,380.0,0.694778
12,kappa,399.178,0.737076
12,kappa,439.726,0.84517
12,kappa,479.726,1.00026
12,ZT,299.371,1.71978
12,ZT,320.126,1.85714
12,ZT,340.252,1.85714
12,ZT,359.748,1.77473
12,ZT,379.874,1.61538
12,ZT,400.0,1.41758
12,ZT,439.623,1.03846
12,ZT,479.874,0.692308
13,alpha,305.302,9.80056e-05
13,alpha,309.837,0.000104548
13,alpha,351.615,0.000129488
13,alpha,379.781,0.0001400239999999
13,alpha,399.752,0.000158366
13,alpha,407.935,0.0001570869999999
13,alpha,417.925,0.0001636469999999
13,alpha,439.733,0.000170246
13,alpha,441.541,0.0001767789999999
13,alpha,466.985,0.00018339
13,alpha,473.352,0.000180799
13,alpha,500.602,0.000195249
13,alpha,514.226,0.000203126
13,alpha,533.313,0.000205799
13,alpha,566.926,0.000220269
13,alpha,573.275,0.000229428
13,alpha,602.358,0.000234745
13,alpha,635.06,0.000250518
13,alpha,669.599,0.000254547
13,alpha,675.948,0.000263706
13,rho,300.027,9.21998e-06
13,rho,346.392,9.849980000000004e-06
13,rho,379.126,1.1929499999999998e-05
13,rho,410.95,1.40105e-05
13,rho,444.588,1.4663200000000002e-05
13,rho,475.507,1.81711e-05
13,rho,509.15,2.0249e-05
13,rho,541.887,2.37536e-05
13,rho,570.988,2.72648e-05
13,rho,603.732,3.29072e-05
13,rho,635.569,3.92639e-05
13,rho,662.858,4.4916e-05
13,rho,678.329,5.05892e-05
13,rho,683.796,5.485509999999999e-05
13,kappa,303.186,2.07214
13,kappa,349.768,1.82086
13,kappa,399.977,1.57919
13,kappa,446.485,1.41362
13,kappa,499.397,1.20059
13,kappa,548.582,1.09224
13,kappa,602.308,0.98875
13,kappa,650.546,0.92323
13,ZT,300.393346782615,0.146115702479339
13,ZT,324.537243760846,0.208429752066115
13,ZT,349.70405463038,0.281487603305785
13,ZT,375.34412937524,0.364214876033058
13,ZT,400.233386317986,0.452314049586777
13,ZT,425.098756696118,0.544710743801653
13,ZT,450.327269615561,0.63495867768595
13,ZT,475.181466817666,0.720909090909091
13,ZT,500.095137070868,0.797190082644628
13,ZT,525.625848669535,0.862727272727272
13,ZT,550.292549385426,0.916446280991735
13,ZT,576.116815174929,0.956198347107438
13,ZT,599.999999999999,0.98198347107438
13,ZT,624.873273123768,0.994876033057851
