dbname,dbversion,dbpubname,sample_id,YEAR,URL,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,"mat_dimension(bulk, film, 1D, 2D)",GROUP,BASEMAT,Composition_by_element,Composition_detailed,SINTERING
tematdb,v1.1.6,teMatDb272,388,2013.0,https://doi.org/10.1039/c3ee41935e,10.1039/c3ee41935e,Figure 4(e) ,AgSb0.98Bi0.02Se2,AgSb0.98Bi0.02Se2,,AgSbQ2,AgSbSe2,AgSbBiSe,AgSb0.98Bi0.02Se2,
tematdb,v1.1.6,teMatDb272,389,2020.0,https://doi.org/10.1016/j.joule.2019.10.010,10.1016/j.joule.2019.10.010,Figure 4(h),"Sb2Si2Te6/Si2Te3, cross plane",,,Telluride,Sb2Si2Te6,SbSiTe,Sb2Si2Te6 / Si2Te3,
tematdb,v1.1.6,teMatDb272,390,2019.0,https://doi.org/10.1002/adfm.201906143,10.1002/adfm.201906143,Figure 6(c) ,"Mn, y=0.05 // Mg3.2-yAySb1.5Bi0.49Se0.01","Mn, y=0.05 // Mg3.2-yAySb1.5Bi0.49Se0.01",,Mg3Sb2,Mg3Sb2,MgMnSbBiSe,Mg3.15Mn0.05Sb1.5Bi0.49Se0.01,
tematdb,v1.1.6,teMatDb272,391,2018.0,https://doi.org/10.1002/aenm.201800659,10.1002/aenm.201800659,Figure 7(a),x=0.02,Pb0.98Ga0.02Te,,PbTe,PbTe,PbGaTe,Pb0.98Ga0.02Te,
tematdb,v1.1.6,teMatDb272,392,2020.0,https://doi.org/10.1002/adfm.202005202,10.1002/adfm.202005202,Figure 6(d),w=0.004,Bi0.396Sb1.525In0.075Cu0.004Te3,,Bi2Te3,Bi2Te3,BiSbInCuTe,Bi0.396Sb1.525In0.075Cu0.004Te3,
tematdb,v1.1.6,teMatDb272,393,2020.0,https://doi.org/10.1002/adfm.201910059,10.1002/adfm.201910059,Figure 8(a),x=0.06,Ge0.8Pb0.1Bi0.1Te1.06,,GeTe,GeTe,GePbBiTe,Ge0.8Pb0.1Bi0.1Te1.06,
tematdb,v1.1.6,teMatDb272,395,2016.0,https://doi.org/10.1002/aenm.201502269,10.1002/aenm.201502269,Figure 4(a),x=0.005,Mg0.995Li0.005Ag0.97Sb0.99,,MgAgSb,MgAgSb,MgLiAgSb,Mg0.995Li0.005Ag0.97Sb0.99,
tematdb,v1.1.6,teMatDb272,396,2020.0,https://doi.org/10.1002/aenm.202003304,10.1002/aenm.202003304,Figure 5(c) ,x=0.3 - Br 1%,Ag0.7Bi0.7Pb0.3Se1.683Br0.01,,Selenide,AgBiSe2,AgBiSePbBr,Ag0.7Bi0.7Pb0.3Se1.683Br0.01,
tematdb,v1.1.6,teMatDb272,397,2019.0,https://doi.org/10.1002/aenm.201900354,10.1002/aenm.201900354,Figure 6(a),Bi1.90Ta1.10O2Se,Bi1.90Ta1.10O2Se,,Oxide,Bi2O2Se,BiTaOSe,Bi1.90Ta1.10O2Se,
tematdb,v1.1.6,teMatDb272,398,2020.0,https://doi.org/10.1002/aenm.202002588,10.1002/aenm.202002588,Figure 5(c) ,Ge0.88Bi0.06Sc0.06Te,Ge0.88Bi0.06Sc0.06Te,,GeTe,GeTe,GeCrBiTe,Ge0.88Bi0.06Sc0.06Te,
